"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2020","4,979.45","4,716.98","5,040.47","4,691.81","684.17M","2.90%"
"06/07/2020","4,839.26","5,159.30","5,213.67","4,759.17","729.22M","-6.90%"
"05/31/2020","5,197.79","4,776.72","5,199.65","4,721.63","688.57M","10.70%"
"05/24/2020","4,695.44","4,482.54","4,784.09","4,451.56","678.73M","5.64%"
"05/17/2020","4,444.56","4,361.03","4,536.07","4,354.73","552.95M","3.90%"
"05/10/2020","4,277.63","4,561.19","4,569.76","4,194.58","524.92M","-5.98%"
"05/03/2020","4,549.64","4,413.14","4,560.19","4,362.13","429.06M","-0.49%"
"04/26/2020","4,572.18","4,479.86","4,719.74","4,448.05","433.58M","4.07%"
"04/19/2020","4,393.32","4,531.34","4,531.34","4,357.46","434.30M","-2.35%"
"04/12/2020","4,499.01","4,553.55","4,577.84","4,318.90","466.26M","-0.17%"
"04/05/2020","4,506.85","4,298.50","4,543.69","4,268.52","510.86M","8.48%"
"03/29/2020","4,154.58","4,362.09","4,468.52","4,142.28","671.90M","-4.53%"
"03/22/2020","4,351.49","3,869.01","4,543.58","3,851.17","852.91M","7.48%"
"03/15/2020","4,048.80","3,886.82","4,109.11","3,632.06","1.22B","-1.69%"
"03/08/2020","4,118.36","4,845.27","4,924.84","4,025.89","1.51B","-19.86%"
"03/01/2020","5,139.11","5,416.02","5,509.28","5,117.57","894.47M","-3.22%"
"02/23/2020","5,309.90","5,875.86","5,884.86","5,229.56","965.67M","-11.94%"
"02/16/2020","6,029.72","6,079.53","6,111.41","5,995.14","416.47M","-0.65%"
"02/09/2020","6,069.35","6,008.48","6,104.73","5,993.91","410.60M","0.66%"
"02/02/2020","6,029.75","5,822.04","6,050.94","5,804.14","457.61M","3.85%"
"01/26/2020","5,806.34","5,924.06","5,969.73","5,799.04","454.49M","-3.62%"
"01/19/2020","6,024.26","6,092.97","6,094.09","5,961.87","346.97M","-1.25%"
"01/12/2020","6,100.72","6,040.91","6,109.81","5,980.05","375.83M","1.05%"
"01/05/2020","6,037.11","6,001.21","6,071.66","5,955.25","342.44M","-0.12%"
"12/29/2019","6,044.16","6,028.96","6,062.92","5,958.25","185.44M","0.11%"
"12/22/2019","6,037.39","6,013.56","6,065.00","6,005.96","106.34M","0.26%"
"12/15/2019","6,021.53","5,946.65","6,024.17","5,942.30","466.20M","1.73%"
"12/08/2019","5,919.02","5,865.73","5,972.17","5,776.67","396.97M","0.80%"
"12/01/2019","5,871.91","5,910.12","5,947.68","5,697.06","424.73M","-0.56%"
"11/24/2019","5,905.17","5,917.84","5,947.30","5,885.66","346.58M","0.20%"
"11/17/2019","5,893.13","5,939.64","5,966.79","5,834.26","368.66M","-0.78%"
"11/10/2019","5,939.27","5,873.74","5,947.62","5,871.71","350.93M","0.84%"
"11/03/2019","5,889.70","5,788.36","5,894.87","5,784.85","451.87M","2.22%"
"10/27/2019","5,761.89","5,720.73","5,778.29","5,711.10","413.27M","0.69%"
"10/20/2019","5,722.15","5,633.04","5,722.64","5,612.86","375.56M","1.52%"
"10/13/2019","5,636.25","5,646.33","5,737.15","5,600.11","421.31M","-0.52%"
"10/06/2019","5,665.48","5,476.77","5,667.40","5,447.01","405.62M","3.23%"
"09/29/2019","5,488.32","5,636.15","5,704.93","5,393.49","417.51M","-2.70%"
